dataset,cls_effective_rank,cls_top1_energy,cls_top10_energy,patchmean_effective_rank,patchmean_top1_energy,patchmean_top10_energy,patch_var_mean,patch_cls_align_mean,patch_spread_mean,hf_grad_mean,hf_fft_ratio_mean,hf_fft_ratio_std,num_classes_seen,prototype_inter_cos_mean,prototype_inter_cos_max,within_cos_dist,prototype_risk_index,nearest_centroid_support_acc,nearest_centroid_margin,class_imbalance_cv
cifar,299.11968994140625,0.029783669859170914,0.15778446197509766,325.41534423828125,0.019586125388741493,0.1278652399778366,0.00047508132411167026,0.8490936160087585,0.20341616868972778,0.0007246259483508766,0.0019357847049832344,0.0018053781241178513,100,0.1772163361310959,0.8001837134361267,0.34738060817122457,1.1475643216073512,75.49999952316284,0.18645375967025757,0.3196677959140258
caltech101,236.6290283203125,0.023258140310645103,0.16270488500595093,233.6896209716797,0.024068573489785194,0.16822215914726257,0.00044067061389796436,0.8512411713600159,0.186847984790802,0.025180215016007423,0.019311951473355293,0.02215556614100933,102,0.061146024614572525,0.9159404039382935,0.2270811912329758,1.1430215951712692,91.00000262260437,0.4390610158443451,0.28662911539217634
dtd,265.1952209472656,0.033705659210681915,0.18924519419670105,266.3703308105469,0.03067697025835514,0.1837923526763916,0.00033148471266031265,0.8803318738937378,0.13695140182971954,0.03323424980044365,0.04820667579770088,0.07186984270811081,47,0.19196529686450958,0.8183950185775757,0.4876842796802521,1.3060792982578278,59.50000286102295,0.15700621902942657,0.21965171281669968
oxford_flowers102,159.07662963867188,0.03702935576438904,0.2370820790529251,167.8199005126953,0.03161592781543732,0.21300074458122253,0.00035415220190770924,0.8597524166107178,0.146818608045578,0.013581681996583939,0.010635974816977978,0.01213789265602827,102,0.13060259819030762,0.7559689283370972,0.12827710902281836,0.8842460373599155,98.2273519039154,0.46058905124664307,0.0
oxford_iiit_pet,111.54206085205078,0.09237562865018845,0.37726029753685,120.45209503173828,0.1046295240521431,0.371647447347641,0.00044340803287923336,0.8225055932998657,0.18763236701488495,0.013195457868278027,0.013802244327962399,0.014107349328696728,37,0.18571434915065765,0.9021774530410767,0.2215405700577272,1.123718023098804,91.50000214576721,0.29841241240501404,0.147574133844164
svhn,117.75482940673828,0.12500986456871033,0.41050463914871216,158.53988647460938,0.0729779303073883,0.33070459961891174,0.0005404139519669116,0.7926996350288391,0.2350674420595169,0.00020647989003919065,0.0011961400741711259,0.0013247821480035782,10,0.9619713425636292,0.9820044040679932,0.394698303937912,1.376702708005905,25.0,0.011433000676333904,0.0
sun397,292.7790222167969,0.022410869598388672,0.14631567895412445,275.9808044433594,0.024314777925610542,0.1550450474023819,0.0004121857928112149,0.8876169323921204,0.17343595623970032,0.02359999716281891,0.0248367041349411,0.019910747185349464,397,0.06040333956480026,0.8306605815887451,0.15575100025467067,0.9864115818434158,55.000001192092896,0.13954967260360718,0.060544404891110064
patch_camelyon,41.70427703857422,0.20090104639530182,0.6314684152603149,44.0687255859375,0.18767617642879486,0.6214485168457031,0.00024191668489947915,0.9209353923797607,0.09779718518257141,0.017414310947060585,0.00819507148116827,0.00617225281894207,2,0.9468036890029907,0.9468036890029907,0.21113190054893494,1.1579355895519257,74.00000095367432,0.05736173689365387,0.0
eurosat,121.05045318603516,0.13039237260818481,0.4022767245769501,148.33180236816406,0.11370678246021271,0.3489687740802765,0.0005313860601745546,0.8507572412490845,0.2309110313653946,0.0006351276533678174,0.0010063170921057463,0.0013116521295160055,10,0.5696939826011658,0.9298893213272095,0.35537277460098265,1.2852620959281922,72.00000286102295,0.09619667381048203,0.0
resisc45,122.08348846435547,0.12202878296375275,0.3952346742153168,125.73350524902344,0.11802362650632858,0.3877238929271698,0.00040857147541828454,0.8912017941474915,0.1715148687362671,0.01481848955154419,0.02035752311348915,0.02794627472758293,45,0.5146363377571106,0.9360513687133789,0.2712318104174402,1.2072831791308192,61.000001430511475,0.07558697462081909,0.023385358654182866
diabetic_retinopathy,47.99470138549805,0.19818097352981567,0.5994163155555725,48.97285079956055,0.18696053326129913,0.5940198302268982,0.000362926977686584,0.9140317440032959,0.15018078684806824,0.008349322713911533,0.14683985710144043,0.04338764026761055,5,0.9729358553886414,0.9973245859146118,0.1731393963098526,1.1704639822244645,28.999999165534973,0.01691177301108837,0.0
clevr_count,63.6009521484375,0.17406776547431946,0.531967043876648,74.00138854980469,0.14481689035892487,0.5007643699645996,0.0005006608553230762,0.8156258463859558,0.2144172042608261,0.0013837158912792802,0.007434036582708359,0.0018889203201979399,8,0.9811734557151794,0.9971050024032593,0.19226940907537937,1.1893744114786386,20.499999821186066,0.006818422116339207,0.07348469227614689
clevr_dist,64.05675506591797,0.17204952239990234,0.5288827419281006,73.79767608642578,0.14640678465366364,0.5007510781288147,0.0005019434029236436,0.8144936561584473,0.21505378186702728,0.001383716007694602,0.007434037514030933,0.0018889203201979399,6,0.9860883355140686,0.996849775314331,0.20667841285467148,1.2035281881690025,28.00000011920929,0.007137041538953781,0.3413301187743678
dmlab,148.2895050048828,0.05830592289566994,0.3416467308998108,140.6897430419922,0.05615384131669998,0.3477914333343506,0.000550201628357172,0.8701610565185547,0.2392040491104126,0.004695333540439606,0.006133928894996643,0.002649272559210658,6,0.965630829334259,0.9896990060806274,0.3711506674687068,1.3608496735493343,27.000001072883606,0.009194525890052319,0.003535533905667572
kitti,68.72149658203125,0.15015274286270142,0.5274909138679504,63.79208755493164,0.15604285895824432,0.547704815864563,0.0005073586944490671,0.839408814907074,0.2179471254348755,0.03142169862985611,0.018759116530418396,0.0063501703552901745,4,0.7122372984886169,0.9374188184738159,0.3309871628880501,1.268405981361866,43.99999976158142,0.05473809689283371,0.361420807351953
dsprites_loc,13.796453475952148,0.39933541417121887,0.8251239061355591,14.605186462402344,0.38383108377456665,0.812205970287323,0.00041224941378459334,0.7583732008934021,0.1726510226726532,0.002149811014533043,2.5195167836500332e-05,7.902021934569348e-06,16,0.9939164519309998,0.9983443021774292,0.1291545550338924,1.1274988572113216,7.000000029802322,0.0031137382611632347,0.10977249197854624
dsprites_ori,13.830909729003906,0.3979029059410095,0.8252125382423401,14.626338005065918,0.3805479407310486,0.8137586116790771,0.00040554720908403397,0.758638322353363,0.1695249229669571,0.0021498112473636866,2.5195169655489735e-05,7.902021934569348e-06,16,0.9808330535888672,0.997549295425415,0.1207532063126564,1.1183025017380714,12.5,0.015096314251422882,0.17958284992476312
smallnorb_azi,112.4234848022461,0.10870004445314407,0.40296846628189087,115.7309799194336,0.10813556611537933,0.3952615559101105,0.0005184462643228471,0.7629516124725342,0.22331802546977997,0.0008409649017266929,0.00024110922822728753,0.00046311295591294765,18,0.888961672782898,0.9533427953720093,0.5037374893824259,1.457080284754435,6.499999761581421,0.021360373124480247,0.15319513696406642
smallnorb_ele,112.81416320800781,0.10836518555879593,0.40250083804130554,115.22840881347656,0.10839426517486572,0.39615973830223083,0.0005144762108102441,0.7660757303237915,0.2213723212480545,0.0008409649599343538,0.0002411092136753723,0.00046311295591294765,9,0.9113452434539795,0.9664944410324097,0.5115536650021871,1.478048106034597,17.000000178813934,0.01688603311777115,0.11744679645225072
