Method,Nat. Mean,Spec. Mean,Str. Mean,Mean,Params(M)
Ours / SCOPE,84.910,85.405,64.382,76.371,0.166
AdaptFormer,82.948,83.724,62.400,74.460,0.186
AOFT,83.648,84.726,61.042,74.357,0.160
Linear,72.4,70.0,31.3,54.6,0.038
Full fine-tuning,69.1,80.4,59.0,67.2,85.837
RepAdapter-A,84.768,83.438,60.554,74.293,0.158
RepAdapter-B,85.130,81.159,61.151,74.198,0.278
AdaptFormer-FPET,82.869,81.037,62.322,73.832,0.190
LoRA,83.7,81.2,58.4,72.5,0.333
DoRA,83.2,82.0,59.4,72.9,0.361
VeRA,77.0,73.7,47.1,63.7,0.066
OFT,82.7,79.7,56.2,70.9,0.522
GOFT,82.8,81.7,56.7,71.6,0.586
MOIL,84.0,81.8,57.9,72.6,0.342
LoRA-FPET,81.857,79.873,62.104,73.122,0.337
CVPT,83.069,80.800,60.269,72.991,0.368
FacT-style,84.0,83.9,60.0,73.9,0.628
SSF,82.3,81.9,57.9,71.9,0.244
LoRA+Adapter‡,83.2,81.4,59.8,73.0,0.490
Adapter,83.2,83.3,58.2,72.7,0.195
BitFit,83.2,78.8,57.9,71.6,0.141
VPT-D,81.3,81.5,59.5,72.1,0.130
NOAH,84.0,85.2,61.5,74.8,0.398
VPT-S,75.2,74.1,41.6,60.8,0.046
SPT-style,76.4,74.9,41.7,61.5,0.046
