Method,CIFAR-100,Caltech101,DTD,Flowers102,Pets,SVHN,SUN397,Nat. Mean,Params(M)
AOFT,84.2,91.6,71.4,99.0,91.3,88.4,59.6,83.6,0.160
Linear,73.7,87.1,67.9,98.7,89.9,32.5,56.9,72.4,0.038
Full fine-tuning,54.8,85.3,66.5,96.0,88.0,76.4,16.4,69.1,85.837
VPT-S,78.8,89.8,69.5,98.8,90.0,42.5,56.9,75.2,0.046
VPT-D,83.1,90.7,68.2,98.9,89.8,87.4,50.8,81.3,0.130
SSF,74.4,90.5,72.2,98.8,90.5,90.2,59.5,82.3,0.244
NOAH,84.7,93.8,70.5,99.2,90.0,90.4,59.1,84.0,0.398
RepAdapter-B,87.1,91.2,76.6,98.8,92.9,91.4,57.9,85.1,0.278
RepAdapter-A,85.7,91.0,78.8,98.5,92.8,90.0,56.5,84.8,0.158
Adapter,83.8,91.8,70.2,99.3,91.3,85.8,60.0,83.2,0.195
AdaptFormer,81.1,92.6,70.4,99.2,91.3,89.0,57.1,82.9,0.186
AdaptFormer-FPET,81.0,92.8,70.2,99.1,90.5,89.2,57.4,82.9,0.190
LoRA,82.9,92.6,71.7,99.0,91.8,89.2,58.9,83.7,0.333
DoRA,78.3,92.9,71.3,99.1,91.8,90.2,58.9,83.2,0.361
VeRA,79.4,88.0,69.7,99.0,91.0,55.4,56.6,77.0,0.066
OFT,83.1,92.3,68.8,98.7,91.6,90.5,53.8,82.7,0.522
GOFT,83.1,92.5,68.7,99.0,91.7,91.3,53.1,82.8,0.586
MOIL,83.5,93.0,71.6,99.0,91.9,89.8,59.0,84.0,0.342
LoRA-FPET,79.5,91.1,70.1,98.9,90.3,86.2,56.9,81.9,0.337
LoRA+Adapter‡,80.5,92.3,71.2,99.3,91.6,88.3,59.6,83.2,0.490
FacT-style,84.2,92.2,72.9,98.9,91.3,89.2,59.7,84.0,0.628
SPT-style,78.1,89.0,69.6,98.8,90.3,53.2,56.0,76.4,0.046
BitFit,82.1,90.4,72.1,98.9,90.3,89.0,59.6,83.2,0.141
CVPT,82.4,91.0,72.7,98.8,90.7,90.6,55.2,83.1,0.368
Ours / SCOPE,84.6,92.8,74.3,99.3,91.5,92.3,59.6,84.9,0.166
